time,density,kinetic_energy,stiffness,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,target_density_error,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.0040000000000004,900.8957215210178,0.5486665618900425,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,16,0.5,0.12062224,0.09966865152999752
5.016,900.8931140365601,0.5459571300013135,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,14,0.5,0.061021538,0.09960412924081867
5.0280000000000005,900.8925387501438,0.5319088291636974,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,14,0.5,0.062482406,0.09982866514295687
5.04,900.8945903039352,0.5289465590648375,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.117775745,0.09996470433524128
5.0520000000000005,900.8958099129017,0.5192668201785141,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.06503603,0.09994484427583324
5.064,900.8956034291299,0.5137814442652074,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.063236721,0.09971624486763712
5.0760000000000005,900.8935324284581,0.5109104361226993,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,14,0.5,0.112574558,0.0997300336760698
5.088,900.893680545228,0.5020983675403311,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.064009214,0.09962989152515034
5.1000000000000005,900.8927914323428,0.497184636349508,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,14,0.5,0.062292876,0.09983966159996555
5.112,900.8946893397352,0.4933881126336992,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.117924425,0.09993109333485854
5.124,900.89549656008,0.4869430170407837,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.06334198,0.09984400598471058
5.136,900.8946897610809,0.4841130599923561,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,14,0.5,0.060333515,0.09998515107552756
5.148,900.8959682007776,0.4794171216298054,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.117026711,0.09997037196773366
5.16,900.895836433588,0.4749938086342281,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.012,0.1,15,0.5,0.063665613,0.09978566631204797
