time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.0,900.6788067795263,198.79788418330818,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014240153,0.07537586472301043
5.01,900.6806110747165,198.93544330540237,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.020378938,0.07530653495057835
5.0200000000000005,900.6797834117701,199.44478670489374,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014781536,0.07497870012255536
5.03,900.6770928575496,199.94506892113407,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015361559,0.07473115580892656
5.04,900.6744675528452,200.08656635784104,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.016583616,0.07428901743184765
5.05,900.6708564547013,200.4176311834634,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015214519,0.07407938300393664
5.0600000000000005,900.6682748978004,200.4819209022258,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014615145,0.073802082671962
5.07,900.6665014233492,200.64168712941856,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015797342,0.07387317340402716
5.08,900.6670021401902,200.682849896772,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014482854,0.07418344911619583
5.09,900.670100754683,200.76013939902612,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014231633,0.0748426835481926
5.1000000000000005,900.6762149612879,200.89459836665424,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014955596,0.0758921893052048
5.11,900.6856666689125,201.07728292126953,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013330458,0.07718608577561407
5.12,900.697925083392,201.36755226222547,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014169853,0.07876500620317092
5.13,900.71221891743,201.73972101184015,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015739691,0.08048323528169485
5.14,900.7277985961491,202.12153224653653,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013212537,0.0823676747193756
5.15,900.7438994654852,202.23753080083748,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014131702,0.08375973645637733
5.16,900.7572345136277,202.49231330140904,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015046727,0.08474495210396568
5.17,900.7659890072608,202.71198139438093,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01385049,0.08504634198739393
5.18,900.7684553315297,202.93221260090166,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01365109,0.08447017960272837
5.19,900.7628686138066,203.18871324518068,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014748086,0.08305275849403024
5.2,900.7491768147507,203.2256966163624,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014323883,0.08061229019934543
5.21,900.7278867998187,203.24609432031835,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013901901,0.0776421937167199
