Bin,Average,Count
1,0.19386244072723913,96
2,0.19621023045476546,147
3,0.26587222230192853,131
4,0.13484678031716577,115
5,0.07507322271055053,112
6,0.034890891412685913,135
7,0.029622815705218256,105
8,0.018501765361701658,134
9,0.01990487891757803,107
10,0.016694132099601362,134
11,0.02453405933596448,116
12,0.03573900504944013,120
13,0.08544665032799376,120
14,0.07139387822224964,126
15,0.04586380741462275,113
16,0.09218596643124036,95
17,0.055202874840272795,119
