Bin,Average,Count
1,27.413078287711823,96
2,12.248853469278975,147
3,13.595075058898065,131
4,13.722074011147608,115
5,11.956301816930567,112
6,11.163825913726257,136
7,10.043932549690672,104
8,10.583159756956224,134
9,10.678576790884337,107
10,8.504633716598828,134
11,8.54081501720608,117
12,8.293208924320737,119
13,9.335217549321124,120
14,9.034780656840661,125
15,9.418631612158832,114
16,10.341798068571572,96
17,7.112246535094958,118
