Bin,Average,Count
1,0.18620609995349313,96
2,0.19566261842356591,147
3,0.27365412190079086,131
4,0.134629961896988,115
5,0.073543478648466,112
6,0.033316574714811545,135
7,0.029413102113307266,105
8,0.017017605035543407,134
9,0.017860755857891274,107
10,0.01582524163753479,134
11,0.022922694507610874,116
12,0.031416146867417664,120
13,0.07854304812710125,120
14,0.06783716748788803,126
15,0.04708487060534163,113
16,0.09353649149265333,95
17,0.0554574896707712,119
