Bin,Average,Count
1,194241.6218669298,96
2,157526.68163265448,147
3,144262.39572456747,131
4,136180.07171866257,115
5,126598.0854941634,112
6,116130.04351149328,135
7,105636.28735695404,105
8,96003.36593771377,134
9,84841.44922337944,107
10,75035.82951296555,134
11,64357.613018121956,116
12,54238.49400232162,120
13,43875.72391091052,120
14,33506.22016648643,126
15,22984.939534502217,113
16,15014.355302353262,95
17,4125.042839948384,119
