Bin,Average,Count
1,178204.19586094064,96
2,143948.3054679592,147
3,131805.20377506956,131
4,124499.29582831387,115
5,115838.08470620913,112
6,106434.01317071401,135
7,96933.22524854429,105
8,88159.90535715767,134
9,77948.30299546143,107
10,68948.59880541264,134
11,59132.091923588494,116
12,49830.91027021604,120
13,40308.650852574465,120
14,30780.34282982159,126
15,21115.89295984198,113
16,13793.446997735718,95
17,3789.6594251627657,119
