Bin,Average,Count
1,166452.02660930107,96
2,141967.57987998796,147
3,132081.88829554638,131
4,125648.26122051674,114
5,117335.74370068846,113
6,107754.91624494,135
7,98096.52991177863,105
8,89196.08364885289,134
9,78860.6423434971,107
10,69770.75273605458,134
11,59857.301133818466,116
12,50450.30045840682,120
13,40807.011793977865,120
14,31160.697508676356,126
15,21371.60926779616,113
16,13957.719560401742,95
17,3825.478391914989,119
