Bin,Average,Count
1,187963.6199843251,96
2,157103.59052203293,147
3,142451.1733859135,131
4,140819.85208548082,115
5,137397.80599517986,112
6,124530.1325450873,136
7,111613.29460579787,104
8,95337.27586703014,134
9,76646.8114317713,107
10,58015.27294953305,134
11,65535.45351323951,117
12,60541.71848880251,119
13,51612.94853765124,120
14,38679.62215553176,125
15,27612.583310508726,114
16,30330.263641725196,96
17,4453.754145667916,118
