Bin,Average,Count
1,186783.81373212984,96
2,155194.68033743597,147
3,138860.5648161435,131
4,129672.75968203759,115
5,136660.52384841812,112
6,120022.29358782171,136
7,109005.89704054642,104
8,102380.26427656131,134
9,87225.69521660736,107
10,77742.66881829474,134
11,65625.22407075611,117
12,50834.603072835176,119
13,50834.925675002196,121
14,29552.5785229759,124
15,11255.910586261944,114
16,11904.880845187887,96
17,3227.512191766699,118
