Bin,Average,Count
1,177939.0504154081,96
2,143715.39083081947,147
3,131569.34759423273,131
4,124270.89848255044,115
5,115607.49233223173,112
6,106203.27933919721,135
7,96700.01145196396,105
8,87930.80067201423,134
9,77725.68977122288,107
10,68735.88568112874,134
11,58937.08377383911,116
12,49655.9776740919,120
13,40155.87496301133,120
14,30659.42923614437,126
15,21030.2496974517,113
16,13735.802526170199,95
17,3774.59676203766,119
