Bin,Average,Count
1,166107.95055803997,96
2,141680.8880320262,147
3,131829.78745670224,131
4,125419.90930380367,115
5,117126.29475319853,112
6,107640.81146572472,135
7,98027.20378950822,105
8,89200.65629844353,134
9,78927.58050805108,107
10,69887.07576506736,134
11,60013.264759262194,116
12,50624.32578668322,120
13,40975.37814327627,120
14,31309.437087488535,126
15,21486.129893247307,113
16,14033.42793759511,95
17,3854.661124600265,119
