time,density,kinetic_energy,stiffness,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,target_density_error,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.0,900.2272023686103,0.029521695448430904,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011106492,0.025348616096350217
5.005,900.2272024880941,0.029499072052598014,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011705854,0.02534863000154118
5.01,900.2272026123607,0.029477163210007085,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.013191541,0.025348644317598215
5.015,900.2272027403185,0.029455968952575434,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011383673,0.02534865890734713
5.0200000000000005,900.2272028707279,0.029435489469175978,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011483423,0.025348673621259428
5.025,900.2272030022558,0.02941572512010127,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.013253232,0.025348688301953956
5.03,900.227203133497,0.029396676193009924,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011330852,0.02534870278876179
5.035,900.2272032629936,0.02937834272333098,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011938295,0.025348716920308254
5.04,900.2272033893063,0.029360724872958207,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.013162641,0.025348730542707722
5.045,900.2272035110466,0.02934382259012697,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011318103,0.025348743512016533
5.05,900.2272036269238,0.029327635848108262,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011542474,0.025348755697512368
5.055,900.2272037357587,0.029312164778721977,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01311749,0.02534876698604523
5.0600000000000005,900.227203836537,0.0292974096761721,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.010791459,0.02534877728623703
5.065,900.2272039284438,0.02928337098849172,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01087429,0.02534878653215013
5.07,900.227204010878,0.029270049294077834,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012530668,0.025348794686059318
5.075,900.2272040835139,0.029257445277745518,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011273172,0.025348801740518425
5.08,900.2272041462735,0.029245559661702548,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.010986581,0.025348807718443084
5.085,900.227204199368,0.029234393297709813,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012676179,0.025348812672929752
5.09,900.2272042432742,0.029223947202997244,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011449713,0.02534881668617563
5.095,900.2272042787282,0.02921422255123742,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011274732,0.02534881986732984
5.1000000000000005,900.2272043067101,0.029205220604060757,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012620449,0.025348822349790044
5.105,900.2272043284207,0.02919694275296955,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011432742,0.025348824288259724
5.11,900.2272043452405,0.029189390529642294,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011467844,0.02534882585414375
5.115,900.2272043587141,0.029182565624759953,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012661479,0.025348827230553306
5.12,900.2272043704835,0.029176469890171978,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01092118,0.025348828607086125
5.125,900.2272043822527,0.029171105312202215,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01087703,0.02534883017431045
5.13,900.2272043957255,0.029166474015972256,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012775049,0.025348832118163262
5.135,900.2272044125783,0.029162578275856336,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.0107332,0.025348834614538202
5.14,900.2272044343848,0.029159420522559966,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011136741,0.025348837824114175
5.1450000000000005,900.2272044625927,0.029157003341892366,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01288102,0.025348841887618108
5.15,900.2272044984575,0.029155329472640604,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01085844,0.025348846921656367
5.155,900.2272045430337,0.02915440179770415,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011063412,0.025348853015204967
5.16,900.2272045971105,0.02915422333557887,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012680399,0.025348860226949575
5.165,900.2272046612255,0.02915479723368952,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011064101,0.025348868584069196
5.17,900.22720473562,0.02915612668299561,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01086016,0.025348878081103123
5.175,900.2272048202407,0.029158214931251758,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012548978,0.025348888679854353
5.18,900.227204914744,0.029161065344037285,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.010818051,0.025348900310612325
5.1850000000000005,900.2272050185105,0.029164681414583116,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01085644,0.025348912874391116
5.19,900.2272051306464,0.02916906674871331,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012691629,0.025348926245911344
5.195,900.2272052500272,0.029174225074388,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01095733,0.025348940277248058
5.2,900.227205375328,0.029180160247039896,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.010914921,0.025348954802303994
5.205,900.2272055050639,0.029186876206611635,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.012761439,0.025348969642030643
5.21,900.227205637622,0.029194376875548895,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.01084486,0.025348984608819514
5.215,900.2272057713159,0.02920266627641339,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,10,0.5,0.011839764,0.02534899951280068
