time,density,kinetic_energy,stiffness,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,target_density_error,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.005,900.4439012316205,0.02916210336279735,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.01090095,0.04953076064337335
5.0120000000000005,900.4439484981104,0.02913687811326664,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011988065,0.04954306452799931
5.019,900.4440589207976,0.029121173213225934,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.013426142,0.049561646237279676
5.026,900.444225545791,0.02911033902408646,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011049622,0.04958539474763574
5.033,900.4444384117728,0.029099190693224065,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011552164,0.049612929169043495
5.04,900.4446851424748,0.02908315942088653,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.013360073,0.04964267876372356
5.047,900.4449516637872,0.029059274143944724,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011631904,0.04967297227145086
5.054,900.4452230040217,0.029026765089917063,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011082152,0.04970213148559544
5.061,900.4454841321075,0.028987169559626397,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.013222772,0.049728563877199435
5.0680000000000005,900.4457207871988,0.02894393129701664,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011433233,0.049750849200555364
5.075,900.4459202541493,0.028901593951301156,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011358114,0.04976781540949905
5.082,900.4460720431562,0.028864775379796762,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.012571078,0.04977859987213666
5.089,900.4461684376424,0.028837151669191693,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.010926091,0.049782692725245
5.096,900.446204882004,0.028820670669461357,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011344064,0.04977996021836201
5.103,900.4461801901214,0.028815160667583183,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.012344017,0.04977064702763053
5.11,900.4460965654232,0.028818408621653916,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.011216873,0.049755357674244924
5.117,900.4459594338269,0.02882667908659257,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.010910801,0.04973501834521915
5.124,900.4457771011171,0.028835549825579797,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.012401058,0.04971082146220971
5.131,900.4455602559196,0.02884087607839288,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.01074278,0.0496841562762495
5.138,900.4453213475449,0.028839672008270645,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.010809781,0.04965652949544966
5.1450000000000005,900.4450738747486,0.028830721903426122,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.013077141,0.04962948046976011
5.152,900.4448316258881,0.028814795915796658,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.01079463,0.04960449570410707
5.159,900.4446079131998,0.02879443410266643,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.007,0.0,10,0.5,0.010819981,0.04958292744906159
