time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations
5.0,900.0821487014565,209.30475083866907,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.005,900.081613109547,208.9879247368203,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.01,900.0812486016055,208.732209903351,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.015,900.0810534034632,208.43824528435746,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.0200000000000005,900.0810326493189,208.09369892628095,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.025,900.0811469313535,207.7220645806125,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.03,900.0814276115361,207.31438561061992,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.035,900.081693916915,206.94318050465566,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.04,900.0819319490985,206.6041124909703,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.045,900.0821162535601,206.30936578711072,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.05,900.082292555933,206.05302398998222,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.055,900.0823849016843,205.83030151639184,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.0600000000000005,900.0823461354053,205.70771780039624,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.065,900.0822266171836,205.6391887094084,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.07,900.0820808220886,205.61413460339807,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.075,900.0818579251269,205.63930006910695,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.08,900.0816173436567,205.69629385585174,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.085,900.0815153272026,205.60384854769373,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.09,900.0815124278605,205.63488089015917,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.095,900.0815819731293,205.73267324219876,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.1000000000000005,900.0817678332268,205.8344103267807,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.105,900.0821336811748,205.922890660661,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.11,900.082676861314,206.00856339211256,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.115,900.0833379167696,206.10218268752124,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.12,900.0841853932532,206.16198500371107,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.125,900.0851043775743,206.24112167882703,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.13,900.0860051270307,206.30407533277773,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.135,900.0868212462134,206.3361236362316,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.14,900.0875659207138,206.3638435897114,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.1450000000000005,900.0882823966522,206.3797893482854,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.15,900.0889903141212,206.36450204032013,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.155,900.0896758020596,206.34319539167404,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.16,900.0903933756396,206.31491499462965,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.165,900.0914256281568,205.96164279984197,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.17,900.0926488873033,205.87120345556116,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.175,900.0935441916503,205.92038001268475,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.18,900.0941227117678,206.04075086504582,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.1850000000000005,900.0944122119547,206.22083773865566,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.19,900.094588850723,206.1516720037317,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.195,900.0943239295707,206.46583524180414,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.2,900.0936964855803,206.79226971114318,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.205,900.0928331993025,207.07724870574899,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.21,900.091875097755,207.37877604732176,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.215,900.0906963389162,207.65769684408258,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.22,900.0894751162859,207.94712851331994,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.2250000000000005,900.088291498999,208.0670078651266,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.23,900.0871396473693,208.24061735869935,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.235,900.0861972697292,208.45643711667628,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.24,900.0853660590167,208.66729049597168,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.245,900.0847318991077,208.8177559368675,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.25,900.0843157086308,208.97078537620695,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.255,900.0838807271884,209.09962422237484,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.26,900.0834556837884,209.20755543549083,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.265,900.0829130888254,209.2705716518568,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.2700000000000005,900.0822678195566,209.2834754776555,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
5.275,900.0814846371696,209.2277485887689,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,25
