time,density,kinetic_energy,stiffness,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,target_density_error,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.0,900.1546167246881,0.029622965332694096,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015279357,0.017252250300354165
5.005,900.154616793928,0.02960167403056768,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.016397142,0.01725225821756836
5.01,900.1546168646861,0.029581084819937303,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.018312372,0.01725226624911984
5.015,900.1546169364851,0.02956119714409413,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015583338,0.017252274338575985
5.0200000000000005,900.1546170088079,0.02954201036405535,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015299347,0.017252282427369463
5.025,900.1546170811312,0.029523523903524872,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.018272002,0.017252290458719927
5.03,900.1546171529453,0.02950573695491965,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015526898,0.01725229837611382
5.035,900.154617223733,0.029488648791891198,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015506287,0.01725230612461928
5.04,900.1546172930077,0.029472258856988398,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017711859,0.017252313653130624
5.045,900.154617360306,0.02945656672534369,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015129186,0.017252320916290517
5.05,900.1546174252203,0.029441572108623797,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014701714,0.017252327876096436
5.055,900.1546174874121,0.02942727487169047,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017394557,0.017252334502868408
5.0600000000000005,900.1546175466102,0.029413675055260276,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014764135,0.017252340775908828
5.065,900.1546176026283,0.029400772877380077,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014905124,0.017252346683995425
5.07,900.1546176553677,0.02938856873355368,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017285037,0.01725235222569486
5.075,900.1546177048125,0.029377063193259518,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015014635,0.017252357409482954
5.08,900.1546177510429,0.02936625697910251,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015016515,0.017252362253427186
5.085,900.1546177942197,0.029356150961629492,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017293457,0.017252366785227288
5.09,900.1546178345912,0.029346746075430415,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014637653,0.017252371040962982
5.095,900.154617872478,0.029338043395775115,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014975955,0.01725237506403967
5.1000000000000005,900.1546179082693,0.029330044140016807,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017087226,0.017252378903613468
5.105,900.1546179424106,0.02932274969849446,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014755444,0.017252382613304952
5.11,900.1546179753844,0.029316161632339664,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014915065,0.017252386249595818
5.115,900.1546180076978,0.02931028159032953,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017197746,0.017252389870293254
5.12,900.1546180398603,0.029305111347852856,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014984885,0.017252393533041272
5.125,900.1546180724013,0.02930065285034251,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015177235,0.017252397293689
5.13,900.1546181058128,0.029296908210271384,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017191926,0.01725240120477756
5.135,900.1546181405754,0.029293879668312487,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015001455,0.017252405314038127
5.14,900.15461817711,0.029291569601514456,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015548498,0.017252409662950996
5.1450000000000005,900.1546182157924,0.029289980550519,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017518308,0.017252414285696883
5.15,900.1546182569294,0.029289115205799767,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014771774,0.017252419208311047
5.155,900.154618300757,0.029288976386453322,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015009375,0.017252424447923395
5.16,900.1546183474262,0.029289567059936808,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.018252691,0.01725243001242486
5.165,900.1546183970086,0.029290890340686982,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015503737,0.017252435900704927
5.17,900.1546184494999,0.02929294945582952,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.01592263,0.017252442102752102
5.175,900.1546185048041,0.029295747752215093,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017676518,0.017252448600081752
5.18,900.1546185627543,0.029299288690804764,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015299487,0.01725245536630698
5.1850000000000005,900.154618623118,0.02930357587586937,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015541128,0.017252462368187973
5.19,900.1546186855935,0.02930861304136142,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017757749,0.017252469566767056
5.195,900.1546187498359,0.02931440403733278,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015256866,0.017252476918361143
5.2,900.1546188154467,0.0293209528545026,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015339767,0.017252484375792354
5.205,900.1546188820088,0.02932826361890459,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.01802084,0.017252491889617257
5.21,900.1546189490737,0.02933634055090229,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015537518,0.01725249940936867
5.215,900.1546190161918,0.02934518799099984,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.015020665,0.01725250688514437
5.22,900.1546190829133,0.029354810313693715,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.017927829,0.01725251426830704
5.2250000000000005,900.1546191487984,0.029365211985255373,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.005,0.0,15,0.5,0.014943245,0.017252521512667325
